  i|  p|  B 
  816|  2|  1010101000
  817|  1|  1010101001
  818|  2|  1010101011
  819|  1|  1010101010
  820|  2|  1010101110
  821|  1|  1010101111
  822|  2|  1010101101
  823|  1|  1010101100
  824|  2|  1010100100
  825|  1|  1010100101
  826|  2|  1010100111
  827|  1|  1010100110
  828|  2|  1010100010
  829|  1|  1010100011
  830|  2|  1010100001
  831|  1|  1010100000
  832|  2|  1011100000
  833|  1|  1011100001
  834|  2|  1011100011
  835|  1|  1011100010
  836|  2|  1011100110
  837|  1|  1011100111
  838|  2|  1011100101
  839|  1|  1011100100
  840|  2|  1011101100
  841|  1|  1011101101
  842|  2|  1011101111
  843|  1|  1011101110
  844|  2|  1011101010
  845|  1|  1011101011
  846|  2|  1011101001
  847|  1|  1011101000
  848|  2|  1011111000
  849|  1|  1011111001
  850|  2|  1011111011
  851|  1|  1011111010
  852|  2|  1011111110
  853|  1|  1011111111
  854|  2|  1011111101
  855|  1|  1011111100
  856|  2|  1011110100
  857|  1|  1011110101
  858|  2|  1011110111
  859|  1|  1011110110
  860|  2|  1011110010
  861|  1|  1011110011
  862|  2|  1011110001
  863|  1|  1011110000
  864|  2|  1011010000
  865|  1|  1011010001
  866|  2|  1011010011
  867|  1|  1011010010
  868|  2|  1011010110
  869|  1|  1011010111
  870|  2|  1011010101
  871|  1|  1011010100
  872|  2|  1011011100
  873|  1|  1011011101
  874|  2|  1011011111
  875|  1|  1011011110
  876|  2|  1011011010
  877|  1|  1011011011
  878|  2|  1011011001
  879|  1|  1011011000
  880|  2|  1011001000
  881|  1|  1011001001
  882|  2|  1011001011
  883|  1|  1011001010
  884|  2|  1011001110
  885|  1|  1011001111
  886|  2|  1011001101
  887|  1|  1011001100
  888|  2|  1011000100
  889|  1|  1011000101
  890|  2|  1011000111
  891|  1|  1011000110
  892|  2|  1011000010
  893|  1|  1011000011
  894|  2|  1011000001
  895|  1|  1011000000
  896|  2|  1001000000
  897|  1|  1001000001
  898|  2|  1001000011
  899|  1|  1001000010
  900|  2|  1001000110
  901|  1|  1001000111
  902|  2|  1001000101
  903|  1|  1001000100
  904|  2|  1001001100
  905|  1|  1001001101
  906|  2|  1001001111
  907|  1|  1001001110
  908|  2|  1001001010
  909|  1|  1001001011
  910|  2|  1001001001
  911|  1|  1001001000
  912|  2|  1001011000
  913|  1|  1001011001
  914|  2|  1001011011
  915|  1|  1001011010
  916|  2|  1001011110
  917|  1|  1001011111
  918|  2|  1001011101
  919|  1|  1001011100
  920|  2|  1001010100
  921|  1|  1001010101
  922|  2|  1001010111
  923|  1|  1001010110
  924|  2|  1001010010
  925|  1|  1001010011
  926|  2|  1001010001
  927|  1|  1001010000
  928|  2|  1001110000
  929|  1|  1001110001
  930|  2|  1001110011
  931|  1|  1001110010
  932|  2|  1001110110
  933|  1|  1001110111
  934|  2|  1001110101
  935|  1|  1001110100
  936|  2|  1001111100
  937|  1|  1001111101
  938|  2|  1001111111
  939|  1|  1001111110
  940|  2|  1001111010
  941|  1|  1001111011
  942|  2|  1001111001
  943|  1|  1001111000
  944|  2|  1001101000
  945|  1|  1001101001
  946|  2|  1001101011
  947|  1|  1001101010
  948|  2|  1001101110
  949|  1|  1001101111
  950|  2|  1001101101
  951|  1|  1001101100
  952|  2|  1001100100
  953|  1|  1001100101
  954|  2|  1001100111
  955|  1|  1001100110
  956|  2|  1001100010
  957|  1|  1001100011
  958|  2|  1001100001
  959|  1|  1001100000
  960|  2|  1000100000
  961|  1|  1000100001
  962|  2|  1000100011
  963|  1|  1000100010
  964|  2|  1000100110
  965|  1|  1000100111
  966|  2|  1000100101
  967|  1|  1000100100
  968|  2|  1000101100
  969|  1|  1000101101
  970|  2|  1000101111
  971|  1|  1000101110
  972|  2|  1000101010
  973|  1|  1000101011
  974|  2|  1000101001
  975|  1|  1000101000
  976|  2|  1000111000
  977|  1|  1000111001
  978|  2|  1000111011
  979|  1|  1000111010
  980|  2|  1000111110
  981|  1|  1000111111
  982|  2|  1000111101
  983|  1|  1000111100
  984|  2|  1000110100
  985|  1|  1000110101
  986|  2|  1000110111
  987|  1|  1000110110
  988|  2|  1000110010
  989|  1|  1000110011
  990|  2|  1000110001
  991|  1|  1000110000
  992|  2|  1000010000
  993|  1|  1000010001
  994|  2|  1000010011
  995|  1|  1000010010
  996|  2|  1000010110
  997|  1|  1000010111
  998|  2|  1000010101
  999|  1|  1000010100
  1000|  2|  1000011100
  1001|  1|  1000011101
  1002|  2|  1000011111
  1003|  1|  1000011110
  1004|  2|  1000011010
  1005|  1|  1000011011
  1006|  2|  1000011001
  1007|  1|  1000011000
  1008|  2|  1000001000
  1009|  1|  1000001001
  1010|  2|  1000001011
  1011|  1|  1000001010
  1012|  2|  1000001110
  1013|  1|  1000001111
  1014|  2|  1000001101
  1015|  1|  1000001100
  1016|  2|  1000000100
  1017|  1|  1000000101
  1018|  2|  1000000111
  1019|  1|  1000000110
  1020|  2|  1000000010
  1021|  1|  1000000011
  1022|  2|  1000000001
  1023|  1|  1000000000
